"Diversions originally bound for CYHM, CYKF, CYOW, CYQB, CYQG, CYUL, CYXU, CYYB, CYYZ, KBUF, KCLE, KDTW, KPIT, KROC, KSYR"

"Exclude ASP|BBA|BLS|CMD|CNS|CSJ|CVR|CYO|DCM|EJA|ERY|FEX|GAJ|GPD|HRT|HYD|JBA|KAP|KUK|LBQ|LXJ|MMY|NDL|NDU|NVC|OPT|REH|RVJ|SFY|STY|SYN|TFF|TWY|VAL|VSL|WWI"

Sat Nov  2 04:20:02 EDT 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
SWA2323,2,2019-10-31 22:52:18-04,KLGA,KCLE,KDAL,2019-10-31 23:26:24-04,2019-11-01 13:34:13-04,2019-11-01 13:34:56-04
SWA2484,2,2019-10-31 23:11:53-04,KPHL,KPIT,KDEN,2019-10-31 23:58:08-04,2019-11-01 01:03:06-04,2019-11-01 01:03:19-04
SWA8500,2,2019-11-01 03:23:36-04,KROC,KCLE,KGRR,2019-11-01 04:10:49-04,2019-11-01 07:22:08-04,2019-11-01 07:22:33-04
(37 rows)

orldc-prod-fused06:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
CRQ928,1,2019-11-01 15:33:55-04,CYMT,CYUL,CSU2,2019-11-01 16:36:14-04,,2019-11-01 16:48:50-04
POE459,1,2019-11-01 09:27:59-04,CYUL,CYOW,CYTZ,2019-11-01 09:55:22-04,,2019-11-01 10:07:26-04
ACA406,2,2019-11-01 11:06:51-04,CYUL,CYOW,CYYZ,2019-11-01 11:38:50-04,2019-11-01 13:03:57-04,2019-11-01 13:03:58-04
ACA372,1,2019-11-01 10:46:32-04,CYUL,CYYZ,CYWG,2019-11-01 11:43:23-04,,2019-11-01 11:55:56-04
JZA7958,2,2019-11-01 11:19:05-04,CYUL,CYTZ,CYTZ,2019-11-01 11:46:21-04,2019-11-01 13:09:27-04,2019-11-01 13:10:06-04
SKW3102,0,2019-11-01 11:26:38-04,CYUL,KBTV,KBTV,,,2019-11-01 11:39:52-04
SKW3102,0,2019-11-01 11:26:38-04,CYUL,KBTV,KBTV,,,2019-11-01 11:47:25-04
IFL511,2,2019-11-01 14:29:23-04,CYXU,KPTK,KPTK,2019-11-01 14:46:10-04,2019-11-01 16:16:02-04,2019-11-01 16:16:36-04
FDX1767,1,2019-11-01 08:51:21-04,KBTV,KSYR,KSYR,2019-11-01 09:42:19-04,,2019-11-01 10:30:34-04
SWA1339,2,2019-10-31 20:09:45-04,KBWI,KPIT,KPHX,2019-10-31 20:15:29-04,2019-11-01 00:29:07-04,2019-11-01 00:29:19-04
SWA1424,2,2019-10-31 20:09:25-04,KBWI,KPIT,KPIT,2019-10-31 20:15:32-04,2019-11-01 00:44:54-04,2019-11-01 00:45:19-04
NKS106,2,2019-10-31 19:48:57-04,KBWI,KPIT,KMSP,2019-10-31 20:18:17-04,2019-11-01 00:22:59-04,2019-11-01 00:23:28-04
SWA530,2,2019-10-31 20:17:30-04,KBWI,KPIT,KSTL,2019-10-31 20:22:16-04,2019-11-01 00:41:03-04,2019-11-01 00:41:15-04
SWA1351,2,2019-10-31 20:25:40-04,KBWI,KPIT,KSMF,2019-10-31 20:31:07-04,2019-11-01 00:51:16-04,2019-11-01 00:51:24-04
DAL1975,2,2019-10-31 21:50:17-04,KBWI,KPIT,KMSP,2019-10-31 22:10:21-04,2019-11-01 00:09:55-04,2019-11-01 00:10:04-04
NKS136,2,2019-10-31 23:31:56-04,KBWI,KPIT,KLAX,2019-10-31 23:43:41-04,2019-11-01 01:01:27-04,2019-11-01 01:01:42-04
