"Diversions originally bound for KABI, KACT, KAUS, KCLL, KDAL, KDFW, KEFD, KELP, KGGG, KGRK, KHOU, KIAH, KLAW, KLBB, KLIT, KOKC, KSAT, KSHV, KSPS, KTUL, KTXK, KTYR"

Wed Oct 30 04:16:01 EDT 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
ASH6351,2,2019-10-29 17:20:49-04,KIAH,KBTR,KSTL,2019-10-29 18:17:23-04,2019-10-29 19:09:30-04,2019-10-29 19:10:02-04
UAL514,2,2019-10-29 14:37:39-04,KIAH,KMSY,KFLL,,,2019-10-29 15:01:19-04
SKW1357,2,2019-10-29 09:31:41-04,KICT,KOKC,KLBB,2019-10-29 10:03:06-04,2019-10-29 13:16:46-04,2019-10-29 13:16:59-04
JBU795,1,2019-10-29 15:24:59-04,KJFK,KAUS,KJFK,2019-10-29 15:30:28-04,,2019-10-29 16:13:38-04
AMF1746,2,2019-10-29 09:36:37-04,KLBB,KLBB,KMAF,2019-10-29 09:53:04-04,2019-10-29 20:53:24-04,2019-10-29 20:53:33-04
BVN7844,1,2019-10-29 21:11:57-04,KLBB,KABI,KABI,2019-10-29 21:29:50-04,,2019-10-29 21:42:24-04
BVN7756,1,2019-10-29 21:20:54-04,KLBB,KROW,KROW,2019-10-29 22:10:59-04,,2019-10-29 22:23:12-04
BVN7793,1,2019-10-29 22:04:38-04,KLBB,KABI,KABI,2019-10-29 22:14:42-04,,2019-10-29 22:29:22-04
GTX111,1,2019-10-30 00:09:22-04,KLBB,KEDC,KELP,2019-10-30 00:54:19-04,,2019-10-30 01:07:58-04
CTL19,1,2019-10-29 05:42:40-04,KLIT,KLLU,KMKC,2019-10-29 05:53:27-04,,2019-10-29 06:06:09-04
MDS654,2,2019-10-29 01:43:47-04,KLRD,KSHV,KYIP,2019-10-29 02:04:31-04,2019-10-29 02:55:33-04,2019-10-29 02:55:49-04
ASH5949,1,2019-10-30 02:38:05-04,KMAF,KDFW,KDFW,2019-10-30 02:51:48-04,,2019-10-30 03:05:56-04
FDX1334,1,2019-10-29 23:25:30-04,KMEM,KDFW,KABQ,2019-10-29 23:34:20-04,,2019-10-30 00:33:18-04
KII725,2,2019-10-29 08:27:15-04,KONT,KOKC,KSDF,2019-10-29 10:16:49-04,2019-10-29 11:11:39-04,2019-10-29 11:12:05-04
ASH5824,1,2019-10-29 16:31:12-04,KPHX,KIAH,KIAH,2019-10-29 16:49:14-04,,2019-10-29 17:04:06-04
AAL491,1,2019-10-29 22:07:33-04,KSAN,KAUS,KPHX,2019-10-29 22:46:33-04,,2019-10-29 23:03:13-04
DKT4560,1,2019-10-29 11:37:24-04,KSAT,KELP,KSJT,2019-10-29 13:00:41-04,,2019-10-29 13:13:48-04
SWA2388,1,2019-10-29 16:07:09-04,KSAT,KSAT,KDAL,2019-10-29 16:52:20-04,,2019-10-29 17:04:28-04
UPS733,2,2019-10-29 22:00:19-04,KSDF,KTUL,KOKC,2019-10-29 22:20:53-04,2019-10-29 23:44:32-04,2019-10-29 23:44:42-04
EJA237,1,2019-10-29 22:42:38-04,KSFO,KAUS,KMDW,2019-10-29 22:48:59-04,,2019-10-29 23:05:24-04
JUS192,1,2019-10-29 17:21:32-04,KSHV,KYIP,KGRR,2019-10-29 17:55:06-04,,2019-10-29 18:09:07-04
JUS195,1,2019-10-29 23:25:22-04,KSHV,KYIP,KYIP,2019-10-30 00:30:40-04,,2019-10-30 00:44:14-04
MRA655,1,2019-10-29 10:17:54-04,KTYR,KGGG,KDFW,2019-10-29 10:53:50-04,,2019-10-29 11:07:26-04
WAL108,1,2019-10-29 16:03:08-04,MGGT,KSAT,KBRO,2019-10-29 15:51:05-04,,2019-10-29 16:03:08-04
UAL1547,1,2019-10-28 21:51:09-04,MMMX,KIAH,KIAH,2019-10-28 23:56:55-04,,2019-10-29 00:18:04-04
EVA669,1,2019-10-29 03:07:12-04,PANC,KDFW,KATL,2019-10-29 04:50:08-04,,2019-10-29 05:10:49-04
(77 rows)

orldc-prod-fused04:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
OUA8,1,2019-10-29 11:39:29-04,CYMO,KOKC,KOUN,2019-10-29 11:27:18-04,,2019-10-29 11:39:29-04
JKA54,1,2019-10-29 18:57:16-04,KASL,KGGG,KGGG,2019-10-29 18:44:48-04,,2019-10-29 18:57:16-04
JBU795,1,2019-10-29 08:56:04-04,KAUS,KJFK,KJFK,2019-10-29 09:58:38-04,,2019-10-29 10:15:13-04
PRY4,1,2019-10-29 11:08:37-04,KDFW,KFTW,KPDX,2019-10-29 14:55:10-04,,2019-10-29 15:07:55-04
AAL1449,2,2019-10-29 18:04:24-04,KDFW,KOKC,KGRR,2019-10-29 18:27:21-04,2019-10-29 20:15:01-04,2019-10-29 20:15:39-04
AAL2859,1,2019-10-29 17:56:06-04,KDFW,KAUS,KPBI,2019-10-29 19:05:45-04,,2019-10-29 19:21:44-04
ENY9804,1,2019-10-29 19:40:15-04,KDFW,KLIT,KCVG,2019-10-29 19:45:53-04,,2019-10-29 19:59:28-04
AAL2627,1,2019-10-29 19:13:23-04,KDFW,KAUS,KRDU,2019-10-29 19:49:36-04,,2019-10-29 20:26:33-04
FDX712,1,2019-10-29 20:44:44-04,KDFW,KAUS,KMEM,2019-10-29 20:49:47-04,,2019-10-30 00:29:57-04
ENY3516,2,2019-10-29 20:47:04-04,KDFW,KABI,KSGF,2019-10-29 20:53:22-04,2019-10-29 21:52:27-04,2019-10-29 21:52:45-04
AAL491,1,2019-10-29 22:07:35-04,KDFW,KAUS,KSAN,2019-10-29 22:46:33-04,,2019-10-29 23:03:13-04
AAL1522,1,2019-10-29 22:11:40-04,KDFW,KIAH,KBDL,2019-10-29 22:55:30-04,,2019-10-29 23:20:56-04
EJA686,1,2019-10-29 12:49:47-04,KGKY,KDAL,KIAH,2019-10-29 13:25:54-04,,2019-10-29 13:39:37-04
BTQ496,1,2019-10-30 01:48:37-04,KGLH,KDFW,KDFW,2019-10-30 02:00:24-04,,2019-10-30 02:17:58-04
SCM82,2,2019-10-29 16:16:30-04,KGLS,KEFD,KDAL,2019-10-29 17:16:17-04,2019-10-29 17:39:02-04,2019-10-29 17:39:39-04
ASQ4109,1,2019-10-30 02:31:22-04,KGPT,KIAH,KIAH,2019-10-30 02:38:25-04,,2019-10-30 02:56:03-04
UPS712,2,2019-10-29 05:41:44-04,KHSV,KSHV,KSDF,2019-10-29 07:32:36-04,2019-10-29 09:01:46-04,2019-10-29 09:02:18-04
